sepal length,sepal width,petal length,label
5.1,3.5,v,0
4.9,3.0,v,0
4.7,3.2,v,0
4.6,3.1,v,0
5.0,3.6,v,0
5.4,3.9,v,0
4.6,3.4,v,0
5.0,3.4,v,0
4.4,2.9,v,0
4.9,3.1,v,0
5.4,3.7,v,0
4.8,3.4,v,0
4.8,3.0,v,0
4.3,3.0,v,0
5.8,4.0,v,0
5.7,4.4,v,0
5.4,3.9,v,0
5.1,3.5,v,0
5.7,3.8,v,0
5.1,3.8,v,0
5.4,3.4,v,0
5.1,3.7,v,0
4.6,3.6,v,0
5.1,3.3,v,0
4.8,3.4,v,0
5.0,3.0,v,0
5.0,3.4,v,0
5.2,3.5,v,0
5.2,3.4,v,0
4.7,3.2,v,0
4.8,3.1,v,0
5.4,3.4,v,0
5.2,4.1,v,0
5.5,4.2,v,0
4.9,3.1,v,0
5.0,3.2,v,0
5.5,3.5,v,0
4.9,3.6,v,0
4.4,3.0,v,0
5.1,3.4,v,0
5.0,3.5,v,0
4.5,2.3,v,0
4.4,3.2,v,0
5.0,3.5,v,0
5.1,3.8,v,0
4.8,3.0,v,0
5.1,3.8,v,0
4.6,3.2,v,0
5.3,3.7,v,0
5.0,3.3,v,0
7.0,3.2,s,1
6.4,3.2,s,1
6.9,3.1,s,1
5.5,2.3,s,1
6.5,2.8,s,1
5.7,2.8,s,1
6.3,3.3,s,1
4.9,2.4,s,1
6.6,2.9,s,1
5.2,2.7,s,1
5.0,2.0,s,1
5.9,3.0,s,1
6.0,2.2,s,1
6.1,2.9,s,1
5.6,2.9,s,1
6.7,3.1,s,1
5.6,3.0,s,1
5.8,2.7,s,1
6.2,2.2,s,1
5.6,2.5,s,1
5.9,3.2,s,1
6.1,2.8,s,1
6.3,2.5,s,1
6.1,2.8,s,1
6.4,2.9,s,1
6.6,3.0,s,1
6.8,2.8,s,1
6.7,3.0,p,1
6.0,2.9,s,1
5.7,2.6,s,1
5.5,2.4,s,1
5.5,2.4,s,1
5.8,2.7,s,1
6.0,2.7,p,1
5.4,3.0,s,1
6.0,3.4,s,1
6.7,3.1,s,1
6.3,2.3,s,1
5.6,3.0,s,1
5.5,2.5,s,1
5.5,2.6,s,1
6.1,3.0,s,1
5.8,2.6,s,1
5.0,2.3,s,1
5.6,2.7,s,1
5.7,3.0,s,1
5.7,2.9,s,1
6.2,2.9,s,1
5.1,2.5,s,1
5.7,2.8,s,1
6.3,3.3,p,1
5.8,2.7,p,1
7.1,3.0,p,1
6.3,2.9,p,1
6.5,3.0,p,1
7.6,3.0,p,1
4.9,2.5,s,1
7.3,2.9,p,1
6.7,2.5,p,1
7.2,3.6,p,1
6.5,3.2,p,1
6.4,2.7,p,1
6.8,3.0,p,1
5.7,2.5,p,1
5.8,2.8,p,1
6.4,3.2,p,1
6.5,3.0,p,1
7.7,3.8,p,1
7.7,2.6,p,1
6.0,2.2,p,1
6.9,3.2,p,1
5.6,2.8,s,1
7.7,2.8,p,1
6.3,2.7,s,1
6.7,3.3,p,1
7.2,3.2,p,1
6.2,2.8,s,1
6.1,3.0,s,1
6.4,2.8,p,1
7.2,3.0,p,1
7.4,2.8,p,1
7.9,3.8,p,1
6.4,2.8,p,1
6.3,2.8,p,1
6.1,2.6,p,1
7.7,3.0,p,1
6.3,3.4,p,1
6.4,3.1,p,1
6.0,3.0,s,1
6.9,3.1,p,1
6.7,3.1,p,1
6.9,3.1,p,1
5.8,2.7,p,1
6.8,3.2,p,1
6.7,3.3,p,1
6.7,3.0,p,1
6.3,2.5,p,1
6.5,3.0,p,1
6.2,3.4,p,1
5.9,3.0,p,1
