,cough_and_fever,cough_and_fever_10_90,a_and_b_or_c,x0_plus_x1_distrib_non_uniform_stat_dep,x0_plus_x1_distrib_uniform_stat_dep,x0_plus_x1_distrib_non_uniform_stat_indep,detect_interaction0,detect_interaction1,detect_interaction2,detect_interaction3,detect_interaction4,mnist,fooling_perturbation_alg
baseline_random,"{'score': {'importance_symmetric': 0.23315689041645415, 'is_attribution_symmetric': 0.0}, 'time': 0.001995086669921875, 'Last_updated': '2022-03-26 12:22:58.508974'}","{'score': {'is_cough_more_important_than_fever': 0.0, 'is_cough_attribution_higher_than_fever_attribution': 1.0}, 'time': 0.001995563507080078, 'Last_updated': '2022-03-26 12:22:58.566330'}","{'score': {'importance_x0_more_important': 0.0}, 'time': 0.001993894577026367, 'Last_updated': '2022-03-26 12:22:58.627695'}","{'score': {'importance_symmetric': 0.0, 'is_attribution_symmetric': 0.0}, 'time': 0.002994060516357422, 'Last_updated': '2022-03-26 12:22:58.653628'}","{'score': {'importance_symmetric': 0.9690263844392942, 'is_attribution_symmetric': 0.0}, 'time': 0.0019953250885009766, 'Last_updated': '2022-03-26 12:22:58.686539'}","{'score': {'importance_symmetric': 0.753531215700094, 'is_attribution_symmetric': 0.12012090223938265}, 'time': 0.0019953250885009766, 'Last_updated': '2022-03-26 12:22:58.719451'}","{'score': {'interaction_detection': 0.0}, 'time': 0.1900498867034912, 'Last_updated': '2022-03-26 12:22:59.929785'}","{'score': {'interaction_detection': 0.0}, 'time': 0.16747498512268066, 'Last_updated': '2022-03-26 12:23:01.077041'}","{'score': {'interaction_detection': 0.027011975694649415}, 'time': 0.22738099098205566, 'Last_updated': '2022-03-26 12:23:02.220515'}","{'score': {'interaction_detection': 0.027011975694649415}, 'time': 0.1711416244506836, 'Last_updated': '2022-03-26 12:23:03.279356'}","{'score': {'interaction_detection': 0.0}, 'time': 0.18149924278259277, 'Last_updated': '2022-03-26 12:23:04.380017'}","{'score': {'importance_dummy': 0.0, 'attributions_dummy': 0.0}, 'time': 0.049515724182128906, 'Last_updated': '2022-03-26 12:23:48.425499'}","{'score': {'attribution_fragility_is_unrelated_feature_important': 0.4444444444444444, 'importance_fragility_is_unrelated_feature_important': 0.5555555555555556}, 'time': 0.012964248657226562}"
saabas,"{'score': {'importance_symmetric': 1.0, 'is_attribution_symmetric': 0.0}, 'time': 0.01695537567138672, 'Last_updated': '2022-03-26 12:23:48.629856'}","{'score': {'is_cough_more_important_than_fever': 1.0, 'is_cough_attribution_higher_than_fever_attribution': 0.0}, 'time': 0.011968851089477539, 'Last_updated': '2022-03-26 12:23:48.706651'}","{'score': {'importance_x0_more_important': 1.0}, 'time': 0.01347494125366211, 'Last_updated': '2022-03-26 12:23:48.787944'}","{'score': {'importance_symmetric': 0.61601722240448, 'is_attribution_symmetric': 0.12061822414398193}, 'time': 0.011970281600952148, 'Last_updated': '2022-03-26 12:23:48.824154'}","{'score': {'importance_symmetric': 0.6000888645648956, 'is_attribution_symmetric': 0.2000003457069397}, 'time': 0.010971546173095703, 'Last_updated': '2022-03-26 12:23:48.869034'}","{'score': {'importance_symmetric': 0.9993787705898285, 'is_attribution_symmetric': 0.49960100650787354}, 'time': 0.009974479675292969, 'Last_updated': '2022-03-26 12:23:48.911920'}",{'Last_updated': '2022-03-26 12:23:48.912916'},{'Last_updated': '2022-03-26 12:23:48.912916'},{'Last_updated': '2022-03-26 12:23:48.913913'},{'Last_updated': '2022-03-26 12:23:48.914910'},{'Last_updated': '2022-03-26 12:23:48.914910'},"{'score': {'importance_dummy': None, 'attributions_dummy': None}, 'time': 0.03290867805480957, 'Last_updated': '2022-03-26 12:23:48.948820'}",{}
tree_shap,"{'score': {'importance_symmetric': 0.20000003200023997, 'is_attribution_symmetric': 0.0}, 'time': 0.026928424835205078, 'Last_updated': '2022-03-26 12:23:49.023620'}","{'score': {'is_cough_more_important_than_fever': 1.0, 'is_cough_attribution_higher_than_fever_attribution': 1.0}, 'time': 0.005495786666870117, 'Last_updated': '2022-03-26 12:23:49.079979'}","{'score': {'importance_x0_more_important': 1.0}, 'time': 0.006981611251831055, 'Last_updated': '2022-03-26 12:23:49.148796'}","{'score': {'importance_symmetric': 0.9976205933094024, 'is_attribution_symmetric': 0.5799818924069404}, 'time': 0.0049860477447509766, 'Last_updated': '2022-03-26 12:23:49.173729'}","{'score': {'importance_symmetric': 0.9999911533296109, 'is_attribution_symmetric': 0.989984524846077}, 'time': 0.004987478256225586, 'Last_updated': '2022-03-26 12:23:49.209633'}","{'score': {'importance_symmetric': 0.9993805539608, 'is_attribution_symmetric': 0.4894981068372727}, 'time': 0.004985332489013672, 'Last_updated': '2022-03-26 12:23:49.245536'}",{'Last_updated': '2022-03-26 12:23:49.246535'},{'Last_updated': '2022-03-26 12:23:49.246535'},{'Last_updated': '2022-03-26 12:23:49.246535'},{'Last_updated': '2022-03-26 12:23:49.247531'},{'Last_updated': '2022-03-26 12:23:49.247531'},"{'score': {'importance_dummy': None, 'attributions_dummy': None}, 'time': 0.03142571449279785, 'Last_updated': '2022-03-26 12:23:49.278957'}",{}
archipelago,{'Last_updated': '2022-03-26 12:23:49.279954'},{'Last_updated': '2022-03-26 12:23:49.279954'},{'Last_updated': '2022-03-26 12:23:49.280951'},{'Last_updated': '2022-03-26 12:23:49.280951'},{'Last_updated': '2022-03-26 12:23:49.280951'},{'Last_updated': '2022-03-26 12:23:49.281949'},"{'score': {'interaction_detection': 0.0}, 'time': 0.2840440273284912, 'Last_updated': '2022-03-26 12:23:50.662881'}","{'score': {'interaction_detection': 1.0}, 'time': 0.25223207473754883, 'Last_updated': '2022-03-26 12:23:52.161243'}","{'score': {'interaction_detection': 1.0}, 'time': 0.18681097030639648, 'Last_updated': '2022-03-26 12:23:53.329117'}","{'score': {'interaction_detection': 1.0}, 'time': 0.1952197551727295, 'Last_updated': '2022-03-26 12:23:54.547843'}","{'score': {'interaction_detection': 1.0}, 'time': 0.19563937187194824, 'Last_updated': '2022-03-26 12:23:55.675179'}",{'Last_updated': '2022-03-26 12:23:55.676175'},{}
shapley_taylor_interaction,{'Last_updated': '2022-03-26 12:23:55.676175'},{'Last_updated': '2022-03-26 12:23:55.677172'},{'Last_updated': '2022-03-26 12:23:55.677172'},{'Last_updated': '2022-03-26 12:23:55.677172'},{'Last_updated': '2022-03-26 12:23:55.678170'},{'Last_updated': '2022-03-26 12:23:55.678170'},"{'score': {'interaction_detection': 0.0}, 'time': 1.4031672477722168, 'Last_updated': '2022-03-26 12:23:58.022687'}","{'score': {'interaction_detection': 1.0}, 'time': 2.3285436630249023, 'Last_updated': '2022-03-26 12:24:01.269772'}","{'score': {'interaction_detection': 0.9074626865671642}, 'time': 1.8731138706207275, 'Last_updated': '2022-03-26 12:24:04.180625'}","{'score': {'interaction_detection': 0.5283582089552239}, 'time': 1.5413334369659424, 'Last_updated': '2022-03-26 12:24:06.669429'}","{'score': {'interaction_detection': 0.854922279792746}, 'time': 1.8797852993011475, 'Last_updated': '2022-03-26 12:24:10.402285'}",{'Last_updated': '2022-03-26 12:24:10.403280'},{}
shap_interaction,{'Last_updated': '2022-03-26 12:24:10.403280'},{'Last_updated': '2022-03-26 12:24:10.403280'},{'Last_updated': '2022-03-26 12:24:10.403280'},{'Last_updated': '2022-03-26 12:24:10.404276'},{'Last_updated': '2022-03-26 12:24:10.404276'},{'Last_updated': '2022-03-26 12:24:10.404276'},"{'score': {'interaction_detection': 0.0}, 'time': 33.28515577316284, 'Last_updated': '2022-03-26 12:24:44.616956'}","{'score': {'interaction_detection': 1.0}, 'time': 44.741061210632324, 'Last_updated': '2022-03-26 12:25:30.644946'}","{'score': {'interaction_detection': 0.0}, 'time': 30.50396966934204, 'Last_updated': '2022-03-26 12:26:02.038339'}","{'score': {'interaction_detection': 0.0}, 'time': 31.500930309295654, 'Last_updated': '2022-03-26 12:26:34.373552'}","{'score': {'interaction_detection': 0.015544041450777257}, 'time': 29.692171812057495, 'Last_updated': '2022-03-26 12:27:04.936068'}",{'Last_updated': '2022-03-26 12:27:04.937066'},{}
anova,{'Last_updated': '2022-03-26 12:27:04.937066'},{'Last_updated': '2022-03-26 12:27:04.938062'},{'Last_updated': '2022-03-26 12:27:04.938062'},{'Last_updated': '2022-03-26 12:27:04.938062'},{'Last_updated': '2022-03-26 12:27:04.939060'},{'Last_updated': '2022-03-26 12:27:04.939060'},"{'score': {'interaction_detection': 0.0}, 'time': 9.531200647354126, 'Last_updated': '2022-03-26 12:27:15.319318'}","{'score': {'interaction_detection': 1.0}, 'time': 9.283761739730835, 'Last_updated': '2022-03-26 12:27:25.716125'}","{'score': {'interaction_detection': 0.018131812845882944}, 'time': 9.672325134277344, 'Last_updated': '2022-03-26 12:27:36.249346'}","{'score': {'interaction_detection': 0.018131812845882944}, 'time': 10.325329065322876, 'Last_updated': '2022-03-26 12:27:47.851321'}","{'score': {'interaction_detection': 0.09756291320581512}, 'time': 10.196410894393921, 'Last_updated': '2022-03-26 12:27:58.954310'}",{'Last_updated': '2022-03-26 12:27:58.955308'},{}
sage,"{'score': {'importance_symmetric': 0.0, 'is_attribution_symmetric': None}, 'time': 0.024932861328125, 'Last_updated': '2022-03-26 12:27:59.024122'}","{'score': {'is_cough_more_important_than_fever': 1.0, 'is_cough_attribution_higher_than_fever_attribution': None}, 'time': 0.022938966751098633, 'Last_updated': '2022-03-26 12:27:59.094933'}","{'score': {'importance_x0_more_important': 1.0}, 'time': 0.03091716766357422, 'Last_updated': '2022-03-26 12:27:59.192672'}","{'score': {'importance_symmetric': 0.9817927643517939, 'is_attribution_symmetric': None}, 'time': 0.19447898864746094, 'Last_updated': '2022-03-26 12:27:59.404106'}","{'score': {'importance_symmetric': 0.9416481782507532, 'is_attribution_symmetric': None}, 'time': 0.043881893157958984, 'Last_updated': '2022-03-26 12:27:59.476911'}","{'score': {'importance_symmetric': 0.9828061344329332, 'is_attribution_symmetric': None}, 'time': 0.23038434982299805, 'Last_updated': '2022-03-26 12:27:59.735222'}",{'Last_updated': '2022-03-26 12:27:59.735222'},{'Last_updated': '2022-03-26 12:27:59.736218'},{'Last_updated': '2022-03-26 12:27:59.736218'},{'Last_updated': '2022-03-26 12:27:59.736218'},{'Last_updated': '2022-03-26 12:27:59.737215'},"{'score': {'importance_dummy': 0.11352040816326531, 'attributions_dummy': None}, 'time': 103.0418746471405, 'Last_updated': '2022-03-26 12:29:42.779090'}","{'score': {'attribution_fragility_is_unrelated_feature_important': None, 'importance_fragility_is_unrelated_feature_important': 0.11111111111111116}, 'time': 1.0840239524841309}"
lime,"{'score': {'importance_symmetric': 0.9784581753255566, 'is_attribution_symmetric': 0.4735922464614646}, 'time': 2.1503489017486572, 'Last_updated': '2022-03-26 12:54:34.471609'}","{'score': {'is_cough_more_important_than_fever': 1.0, 'is_cough_attribution_higher_than_fever_attribution': 1.0}, 'time': 2.2451772689819336, 'Last_updated': '2022-03-26 12:54:36.761666'}","{'score': {'importance_x0_more_important': 1.0}, 'time': 6.061672925949097, 'Last_updated': '2022-03-26 12:54:42.880187'}","{'score': {'importance_symmetric': 0.9930003658481835, 'is_attribution_symmetric': 0.9926474617271474}, 'time': 2.0262022018432617, 'Last_updated': '2022-03-26 12:54:44.924340'}","{'score': {'importance_symmetric': 0.9999810303783638, 'is_attribution_symmetric': 0.9999685845942217}, 'time': 2.0821433067321777, 'Last_updated': '2022-03-26 12:54:47.036404'}","{'score': {'importance_symmetric': 0.9989019050271243, 'is_attribution_symmetric': 0.9981912982036105}, 'time': 2.4864885807037354, 'Last_updated': '2022-03-26 12:54:49.550816'}",{'Last_updated': '2022-03-26 12:54:49.551813'},{'Last_updated': '2022-03-26 12:54:49.552810'},{'Last_updated': '2022-03-26 12:54:49.552810'},{'Last_updated': '2022-03-26 12:54:49.552810'},{'Last_updated': '2022-03-26 12:54:49.553807'},"{'score': {'importance_dummy': 0.11352040816326531, 'attributions_dummy': 0.11352040816326531}, 'time': 808.7971637248993, 'Last_updated': '2022-03-26 13:08:53.368735'}","{'score': {'attribution_fragility_is_unrelated_feature_important': 0.0, 'importance_fragility_is_unrelated_feature_important': 0.0}, 'time': 4.234114646911621}"
kernel_shap,"{'score': {'importance_symmetric': 1.0, 'is_attribution_symmetric': 1.0}, 'time': 8.581911087036133, 'Last_updated': '2022-03-26 13:09:02.002506'}","{'score': {'is_cough_more_important_than_fever': 1.0, 'is_cough_attribution_higher_than_fever_attribution': 1.0}, 'time': 7.668965578079224, 'Last_updated': '2022-03-26 13:09:09.701392'}","{'score': {'importance_x0_more_important': 1.0}, 'time': 25.259172677993774, 'Last_updated': '2022-03-26 13:09:34.991480'}","{'score': {'importance_symmetric': 0.99785497784612, 'is_attribution_symmetric': 0.636287683790371}, 'time': 0.8028717041015625, 'Last_updated': '2022-03-26 13:09:35.809056'}","{'score': {'importance_symmetric': 1.0, 'is_attribution_symmetric': 1.0}, 'time': 3.6191859245300293, 'Last_updated': '2022-03-26 13:09:39.458161'}","{'score': {'importance_symmetric': 0.9993787780403411, 'is_attribution_symmetric': 0.49955666065234994}, 'time': 4.2339112758636475, 'Last_updated': '2022-03-26 13:09:43.710022'}",{'Last_updated': '2022-03-26 13:09:43.711020'},{'Last_updated': '2022-03-26 13:09:43.712017'},{'Last_updated': '2022-03-26 13:09:43.712017'},{'Last_updated': '2022-03-26 13:09:43.712017'},{'Last_updated': '2022-03-26 13:09:43.712017'},"{'score': {'importance_dummy': None, 'attributions_dummy': None}, 'time': 0.26030540466308594, 'Last_updated': '2022-03-26 13:09:43.973320'}","{'score': {'attribution_fragility_is_unrelated_feature_important': 0.11111111111111116, 'importance_fragility_is_unrelated_feature_important': 0.11111111111111116}, 'time': 81.14684534072876}"
maple,"{'score': {'importance_symmetric': 1.0, 'is_attribution_symmetric': 1.0}, 'time': 257.99880743026733, 'Last_updated': '2022-03-26 13:14:02.008028'}","{'score': {'is_cough_more_important_than_fever': 0.0, 'is_cough_attribution_higher_than_fever_attribution': 0.0}, 'time': 233.8534698486328, 'Last_updated': '2022-03-26 13:17:55.907381'}","{'score': {'importance_x0_more_important': 1.0}, 'time': 316.99449014663696, 'Last_updated': '2022-03-26 13:23:12.946751'}","{'score': {'importance_symmetric': 1.0, 'is_attribution_symmetric': 1.0}, 'time': 4.1466896533966064, 'Last_updated': '2022-03-26 13:23:17.117377'}","{'score': {'importance_symmetric': 1.0, 'is_attribution_symmetric': 1.0}, 'time': 71.49529337882996, 'Last_updated': '2022-03-26 13:24:28.632615'}","{'score': {'importance_symmetric': 1.0, 'is_attribution_symmetric': 1.0}, 'time': 70.24114608764648, 'Last_updated': '2022-03-26 13:25:38.893705'}",{'Last_updated': '2022-03-26 13:25:38.895699'},{'Last_updated': '2022-03-26 13:25:38.895699'},{'Last_updated': '2022-03-26 13:25:38.895699'},{'Last_updated': '2022-03-26 13:25:38.895699'},{'Last_updated': '2022-03-26 13:25:38.895699'},"{'score': {'importance_dummy': 0.11352040816326531, 'attributions_dummy': 0.11352040816326531}, 'time': 11.663841724395752, 'Last_updated': '2022-03-26 13:25:50.560538'}","{'score': {'attribution_fragility_is_unrelated_feature_important': 0.11111111111111116, 'importance_fragility_is_unrelated_feature_important': 0.11111111111111116}, 'time': 86.43380522727966}"
